DAUID,CSDUID,CCSUID,CDUID,ERUID,CTUID,CMAUID,adpop2006,Shape_Leng,Shape_Area,TOTALDEPNT,QUINTMATNT,QUINTSOCNT,QUINTMATLO,QUINTSOCLO,TOTALDEPLO,OBJECTID_1,OBJECTID_2,OBJECTID_3,OBJECTID,NGHD_ID,Nghd_Name,FINAL_Shap,NALP,IMI,Shape_Le_1,Shape_Le_2,FINAL_Sha1,OID_,NGHD_NAM_1,NALP_AF,NALP_DD,NALP_SAFE,NALP_UA,IMI_ATTR,IMI_DD,IMI_PA,IMI_S_CR,IMI_S_TR,ERA,JOIN_FID,TARGET_FID,Join_Count
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110089,4711066,4711066,4711,4730,7250010,725,428,1824.430158,173085.3126,3,1,5,1,5,3,56,79,51,156,33,Varsity View,4736.034022,1,1,4736.034022,4736.034022,1265524.55,55,Varsity View,3.5,4.375,4.125,2.83333,5.06576,6,4.67879,8.56121,5.90636,2,56,59,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110090,4711066,4711066,4711,4730,7250011.02,725,424,1745.706739,175816.8963,2,2,3,3,3,3,25,36,47,152,36,Holliston,4923.35711,1,1,4923.35711,4923.35711,1407097.945,24,Holliston,3.25,4.4375,3.5,1.33333,4.74731,8,4.32154,8.42462,5.34346,2,25,60,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110091,4711066,4711066,4711,4730,7250011.02,725,694,2157.415873,232987.4362,4,2,5,3,5,5,56,79,51,156,33,Varsity View,4736.034022,1,1,4736.034022,4736.034022,1265524.55,55,Varsity View,3.5,4.375,4.125,2.83333,5.06576,6,4.67879,8.56121,5.90636,2,56,61,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110092,4711066,4711066,4711,4730,7250011.02,725,730,2403.4249,327759.6277,3,3,3,4,3,4,25,36,47,152,36,Holliston,4923.35711,1,1,4923.35711,4923.35711,1407097.945,24,Holliston,3.25,4.4375,3.5,1.33333,4.74731,8,4.32154,8.42462,5.34346,2,25,62,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110093,4711066,4711066,4711,4730,7250011.02,725,408,1702.776799,157521.092,5,5,5,5,5,5,25,36,47,152,36,Holliston,4923.35711,1,1,4923.35711,4923.35711,1407097.945,24,Holliston,3.25,4.4375,3.5,1.33333,4.74731,8,4.32154,8.42462,5.34346,2,25,63,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110094,4711066,4711066,4711,4730,7250011.01,725,565,2117.186384,194873.5755,5,3,5,4,5,5,25,36,47,152,36,Holliston,4923.35711,1,1,4923.35711,4923.35711,1407097.945,24,Holliston,3.25,4.4375,3.5,1.33333,4.74731,8,4.32154,8.42462,5.34346,2,25,64,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110095,4711066,4711066,4711,4730,7250011.03,725,553,2690.266877,258288.0176,4,3,4,4,3,4,21,32,50,155,35,Grosvenor Park,3255.674282,1,0,3255.674282,3255.674282,645079.7672,20,Grosvenor Park,3.25,4.3125,3.25,1.16667,5.39,7,5.9,9.209,6.122,2,21,65,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110096,4711066,4711066,4711,4730,7250011.03,725,377,1674.817708,161081.1303,1,1,2,1,2,1,21,32,50,155,35,Grosvenor Park,3255.674282,1,0,3255.674282,3255.674282,645079.7672,20,Grosvenor Park,3.25,4.3125,3.25,1.16667,5.39,7,5.9,9.209,6.122,2,21,66,2
